timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559634726524,170,Buy_19 /ShopItV60/main.asp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1652,501,3,3,null,170,2,0
1559634726678,131,Checkout_43 /ShopItV60/checkout.asp,200,OK,Thread Group 1-3,text,true,,2017,497,3,3,http://demo.borland.com/ShopItV60/checkout.asp,130,0,0
1559634726674,140,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-2,text,true,,1611,502,3,3,http://demo.borland.com/ShopItV60/main.asp,139,0,0
1559634726696,140,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-1,text,true,,1611,503,3,3,http://demo.borland.com/ShopItV60/main.asp,139,0,0
1559634726820,128,Checkout_44 /ShopItV60/kindofpayment.asp,200,OK,Thread Group 1-3,text,true,,567,549,3,3,http://demo.borland.com/ShopItV60/kindofpayment.asp?choice=CreditCard&price=15.9&sid=750610664,127,0,0
1559634726815,144,Checkout_43 /ShopItV60/checkout.asp,200,OK,Thread Group 1-2,text,true,,2019,497,3,3,http://demo.borland.com/ShopItV60/checkout.asp,143,0,0
1559634726837,142,Checkout_43 /ShopItV60/checkout.asp,200,OK,Thread Group 1-1,text,true,,2017,498,3,3,http://demo.borland.com/ShopItV60/checkout.asp,142,0,0
1559634726948,137,Checkout_45 /ShopItV60/card.asp,200,OK,Thread Group 1-3,text,true,,2174,559,3,3,http://demo.borland.com/ShopItV60/card.asp?sid=750610664,136,0,0
1559634726962,138,Checkout_44 /ShopItV60/kindofpayment.asp,200,OK,Thread Group 1-2,text,true,,567,549,3,3,http://demo.borland.com/ShopItV60/kindofpayment.asp?choice=CreditCard&price=89.9&sid=750610666,137,0,0
1559634726983,138,Checkout_44 /ShopItV60/kindofpayment.asp,200,OK,Thread Group 1-1,text,true,,567,550,3,3,http://demo.borland.com/ShopItV60/kindofpayment.asp?choice=CreditCard&price=39.9&sid=750610667,138,0,0
1559634727086,270,Checkout_47 /ShopItV60/acknowledge.asp,200,OK,Thread Group 1-3,text,true,,1642,716,3,3,http://demo.borland.com/ShopItV60/acknowledge.asp,270,0,134
1559634727100,276,Checkout_45 /ShopItV60/card.asp,200,OK,Thread Group 1-2,text,true,,2174,559,3,3,http://demo.borland.com/ShopItV60/card.asp?sid=750610666,276,0,134
1559634727122,273,Checkout_45 /ShopItV60/card.asp,200,OK,Thread Group 1-1,text,true,,2174,560,3,3,http://demo.borland.com/ShopItV60/card.asp?sid=750610667,273,0,133
1559634727357,136,Checkout_48 /ShopItV60/thanks.asp,200,OK,Thread Group 1-3,text,true,,1268,502,3,3,http://demo.borland.com/ShopItV60/thanks.asp,136,0,0
1559634727377,136,Checkout_47 /ShopItV60/acknowledge.asp,200,OK,Thread Group 1-2,text,true,,1642,716,3,3,http://demo.borland.com/ShopItV60/acknowledge.asp,136,0,0
1559634727396,136,Checkout_47 /ShopItV60/acknowledge.asp,200,OK,Thread Group 1-1,text,true,,1642,717,3,3,http://demo.borland.com/ShopItV60/acknowledge.asp,136,0,0
